source_name,source_url,evidence_date,evidence_status,design_id,design_name_original,author_original,created_date,usage_count,like_count,five_elements,tags,design_image_evidence,recipe_status,source_displayed_price_sum,source_quantity_multiplied_total,source_price_unit_status,earthward_preset_candidate_status,earthward_material_mapping_status,earthward_price_status,earthward_image_status,woo_status,notes
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-judiaoriguang,橘调日光,韵韵,2026-06-03,491,23,金;土,招米守米;事业顺遂;助力学业;健康平安;招贵人;稳定情绪;净化磁场,visible-in-authorized-session,complete-visible,104.00,208.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 9 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-muzhilanqing,木质蓝鲸,Ashley,2026-06-03,219,12,金;木;水,招贵人;事业顺遂;安神助眠;活力气血;稳定情绪;自信气场;净化磁场,visible-in-authorized-session,complete-visible,114.50,320.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；作者名界面含 emoji，仅保留可读文字；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinzhao,金昭,微信用户,2026-06-04,273,14,金;火;土,招米守米;爱情姻缘;事业顺遂;稳定情绪;辟邪护身;提升人缘;健康平安,visible-in-authorized-session,complete-visible,78.00,596.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 8 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zidingshangan,紫定上岸,啦啦啦,2026-06-08,329,18,金;火,助力学业;招米守米;爱情姻缘;事业顺遂;招贵人;活力气血;美容养颜;安神助眠;稳定情绪;沟通表达;健康平安,visible-in-authorized-session,complete-visible,25.00,163.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；作者名界面含 emoji，仅保留可读文字；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinzhuyingfu,金珠迎福,Dy,2026-06-13,323,8,金,招米守米;事业顺遂;招贵人;自信气场;辟邪护身,visible-in-authorized-session,complete-visible,56.50,170.50,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-chanhui,忏悔,一杯薄荷茶,2026-06-13,204,17,金;水;火,美容养颜;自信气场;稳定情绪;安神助眠;健康平安;事业顺遂;辟邪护身,visible-in-authorized-session,complete-visible,21.00,77.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 7 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zhaohelu,昭和录,world妈呀!,2026-06-15,392,38,金;火,爱情姻缘;提升人缘;招贵人;活力气血;美容养颜;安神助眠,visible-in-authorized-session,complete-visible,53.50,113.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 11 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-fuxinggaozhao,福星高照,枕月,2026-06-15,290,23,金;水;火,防小人;辟邪护身;健康平安;净化磁场;安神助眠;招贵人;美容养颜,visible-in-authorized-session,complete-visible,52.50,85.50,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 7 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-danning,丹凝,小七,2026-06-16,100,2,金;木;火,活力气血;美容养颜;安神助眠;健康平安;提升人缘;招贵人,visible-in-authorized-session,complete-visible,120.00,866.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-yuexu,月序,你好,2026-06-23,246,13,金;木;水;火;土,助力学业;提升人缘;辟邪护身;健康平安;净化磁场;沟通表达;自信气场;稳定情绪;安神助眠;防小人;爱情姻缘;招米守米;事业顺遂;活力气血;美容养颜;招贵人,visible-in-authorized-session,complete-visible,245.00,557.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 8 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-qingpingle,青平乐,TripleU,2026-06-29,264,23,金;水,事业顺遂;招贵人;安神助眠;爱情姻缘;提升人缘;稳定情绪;自信气场;健康平安,visible-in-authorized-session,complete-visible,76.00,285.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 9 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-ziqidonglai,紫气东来🔮,冰至,2026-07-01,289,26,火,提升人缘;爱情姻缘;安神助眠;稳定情绪;自信气场;招贵人,visible-in-authorized-session,complete-visible,99.00,305.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 8 项；作者名界面含 emoji，仅保留可读文字；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-miaoyupingan,喵子平安,荔枝ᥫᩣᩚ,2026-07-08,972,77,金,招米守米;事业顺遂;招贵人;防小人;辟邪护身;健康平安;净化磁场;提升人缘,visible-in-authorized-session,complete-visible,99.00,280.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考；使用及点赞数于本次回读更新。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-lvlvlvlv,绿绿绿绿,不知道叫啥,2026-07-13,46,4,金;木,爱情姻缘;稳定情绪;助力学业;净化磁场;提升人缘;健康平安;招米守米,visible-in-authorized-session,complete-visible,33.00,119.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-baguajinlian,八卦金链,七七,2026-07-08,216,21,金;水,辟邪护身;防小人;健康平安;净化磁场;安神助眠;美容养颜;提升人缘;爱情姻缘,visible-in-authorized-session,complete-visible,20.00,63.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 4 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinyuliangyuan,金玉良缘,绵绵🌴,2026-07-08,187,8,金;木,招贵人;辟邪护身;防小人;稳定情绪;安神助眠;美容养颜;招米守米;健康平安;净化磁场,visible-in-authorized-session,complete-visible,75.00,890.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-qingjianyue,青涧月,云清让,2026-07-08,147,9,金;木,助力学业;健康平安;净化磁场;事业顺遂;招贵人;安神助眠;美容养颜;活力气血;稳定情绪;辟邪护身;提升人缘;沟通表达,visible-in-authorized-session,complete-visible,159.00,274.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 7 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-putixin,菩提心,潇潇,2026-07-03,180,9,木,辟邪护身;防小人;招贵人;事业顺遂;健康平安;沟通表达,visible-in-authorized-session,complete-visible,7.00,154.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 2 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-junjing,珺璟,兹梵,2026-07-03,513,37,木;火,安神助眠;健康平安;稳定情绪;活力气血;事业顺遂;辟邪护身,visible-in-authorized-session,complete-visible,25.50,76.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-yuanxiang,院香,一厢旧梦,2026-03-10,1104,18,金;木,助力学业;净化磁场;健康平安;安神助眠;辟邪护身,visible-in-authorized-session,complete-visible,36.00,156.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-huaying,花楹,十月,2026-03-18,1534,25,金;水;土,事业顺遂;招米聚米;稳定情绪;自信魅力;辟邪护身;健康平安;招贵人;防小人;助力学业;改善人缘,visible-in-authorized-session,complete-visible,38.00,162.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 4 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-suishuihongfu,岁岁鸿福,淡然~,2026-03-18,1387,16,土;火;木,助力学业;健康平安;招米聚米;爱情姻缘,visible-in-authorized-session,complete-visible,57.00,275.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-guihuajiu,桂花酒,ssq,2026-03-13,2618,11,金;木;水;火;土,助力学业;改善人缘;爱情姻缘;招米聚米;健康平安;辟邪护身;防小人;事业顺遂;净化磁场;稳定情绪;安神助眠;沟通表达;自信魅力;气血养颜;活力潜力,visible-in-authorized-session,complete-visible,46.00,177.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 4 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-ziyouyuai,自由与爱,矅,2026-03-12,2946,44,水,健康平安;辟邪护身;防小人;事业顺遂;净化磁场;稳定情绪;安神助眠,visible-in-authorized-session,complete-visible,14.00,54.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-tiankongzhijing,天空之境,ai在西元前,2026-03-10,2256,37,金;水,助力学业;净化磁场;爱情姻缘;健康平安;沟通表达;改善人缘;安神助眠;活力潜力,visible-in-authorized-session,complete-visible,56.50,136.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-niboer,尼泊尔,暴富,2026-03-10,1913,37,金;水,助力学业;净化磁场;健康平安;沟通表达;事业顺遂;辟邪护身,visible-in-authorized-session,complete-visible,47.50,212.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-fusu,扶苏,清浅の,2026-03-10,1991,25,木,招米聚米;事业顺遂;自信魅力;招贵人;辟邪护身;健康平安;安神助眠;稳定情绪,visible-in-authorized-session,complete-visible,63.00,289.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-putaoqipao,葡萄气泡,一一,2026-03-27,751,17,金;火,学业;净化磁场;招贵人;自信魅力;人缘;事业;招米;姻缘;安神助眠,visible-in-authorized-session,complete-visible,28.50,217.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-tianzhu,天珠,Y,2026-03-25,1656,13,金,辟邪护身;净化磁场;自信魅力;健康平安,visible-in-authorized-session,complete-visible,6.00,60.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 2 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinshi,锦时,不知道,2026-03-28,1683,20,火;土;木;金,气血养颜;姻缘;健康;招米;事业;自信魅力;辟邪;平安;安神助眠,visible-in-authorized-session,complete-visible,69.00,240.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zhenwo,真我,Goodnight,2026-03-27,648,6,金,净化磁场;自信魅力;平安;学业,visible-in-authorized-session,complete-visible,40.50,92.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-yinhe,银河,清香木,2026-03-31,1109,39,金;水,平安;健康;姻缘;稳定情绪;安神助眠;辟邪;自信魅力,visible-in-authorized-session,complete-visible,34.00,125.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 4 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-haidaozhixin,海岛之心,元气满满,2026-03-29,1387,24,金;木,健康;招米;平安;稳定情绪;防小人;事业;安神助眠,visible-in-authorized-session,complete-visible,37.00,160.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-huajian,花间,暖,2026-04-03,2979,120,金;水,学业;净化磁场;事业;姻缘;人缘;安神助眠;稳定情绪;健康;辟邪;沟通表达,visible-in-authorized-session,complete-visible,42.00,216.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-mius,缪斯,栀,2026-04-08,994,29,金;水;土,学业;招米;平安;辟邪;姻缘;防小人;事业;情绪;健康;安神助眠;稳定情绪;净化磁场,visible-in-authorized-session,complete-visible,58.00,134.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-haoyunlianlian,好运莲莲,青梅煮酒,2026-04-27,828,24,木,健康平安;辟邪护身;净化磁场;安神助眠;提升人缘,visible-in-authorized-session,complete-visible,12.00,54.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinfu,金福,winwin,2026-04-25,1179,16,火;土,招米聚米;健康平安;辟邪护身;事业顺遂;稳定情绪;安神助眠;气血养颜;活力潜力;招贵人,visible-in-authorized-session,complete-visible,26.00,343.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 4 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zhushishunli,"朱""事顺利",奶油草莓,2026-04-24,1791,53,金;火,健康平安;辟邪护身;防小人;稳定情绪;气血养颜,visible-in-authorized-session,complete-visible,51.00,102.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 4 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-fulu,福禄,粥粥,2026-04-17,1126,31,火;木,提升人缘;爱情姻缘;辟邪护身,visible-in-authorized-session,complete-visible,98.00,248.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 2 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-yulinling,雨霖铃,微信用户,2026-04-28,2531,113,木;金,招贵人;安神助眠;稳定情绪;净化磁场;提升人缘,visible-in-authorized-session,complete-visible,32.00,288.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-guanzizai,观自在,微信用户,2026-05-02,663,26,木;土,健康平安;辟邪护身;防小人;招米守米;安神助眠;招贵人;稳定情绪;自信气场,visible-in-authorized-session,complete-visible,10.00,174.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zhuohua,灼华,微信用户,2026-05-14,684,36,火,招贵人;事业顺遂;防小人;美容养颜;安神助眠;提升人缘;爱情姻缘,visible-in-authorized-session,complete-visible,46.00,102.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jiaorenlei,鲛人泪,可儿,2026-05-13,728,44,金;木;水,助力学业;健康平安;净化磁场;沟通表达;稳定情绪;招米守米,visible-in-authorized-session,complete-visible,49.00,152.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-qingchuanbiyu,晴川碧玉,晚🍊予风,2026-05-19,1372,42,木;土,自信气场;事业顺遂;稳定情绪;招米守米;提升人缘;安神助眠;健康平安,visible-in-authorized-session,complete-visible,77.50,527.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-lansedemeng,蓝色的梦,丽.Lin,2026-05-19,716,25,金;水;土,事业顺遂;招贵人;招米守米;健康平安;安神助眠,visible-in-authorized-session,complete-visible,131.00,131.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,作者名在界面含 emoji，正文保留可读核心名称；详情页原材料清单可见 6 项。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-baoheqingningcha,薄荷青柠茶,시드니,2026-05-28,700,73,金;木,招贵人;招米守米;爱情姻缘;提升人缘;健康平安;助力学业;稳定情绪,visible-in-authorized-session,complete-visible,29.00,72.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-tianxinboluo,甜心菠萝,ZMQ,2026-05-28,264,17,金;土,招米守米;事业顺遂;美容养颜;招贵人;助力学业;净化磁场;稳定情绪,visible-in-authorized-session,complete-visible,48.00,168.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-shouhu108,（守护）108颗念珠,微信用户,2026-05-23,985,27,金;水,招米守米;健康平安;净化磁场;安神助眠;招贵人;辟邪护身,visible-in-authorized-session,complete-visible,40.00,382.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zhuluxiaojin108,竹影鎏金（108籽）,玛莲娜,2026-05-27,913,26,土;木,提升人缘;健康平安;招贵人;美容养颜;自信气场;稳定情绪;招米守米,visible-in-authorized-session,complete-visible,72.00,1361.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-xuwowuyou,许我无忧,TvTing,2026-05-28,866,36,金;木;水;火;土,助力学业;健康平安;净化磁场;沟通表达;提升人缘;辟邪护身;稳定情绪;自信气场;爱情姻缘;防小人;安神助眠;美容养颜;招米守米;事业顺遂;招贵人;活力气血,visible-in-authorized-session,complete-visible,47.00,47.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-dongfangjibai,东方既白,对方正在长头发,2026-05-29,353,32,金;水,事业顺遂;招贵人;招米守米;辟邪护身,visible-in-authorized-session,complete-visible,10.50,105.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-xuanshuangxu,玄霜序,续约,2026-06-03,462,50,金;水,活力气血;美容养颜;助力学业,visible-in-authorized-session,complete-visible,69.00,135.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 8 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinriyinafu,今日宜纳福,糖串串,2026-06-02,176,7,金;木,提升人缘;辟邪护身;招贵人;活力气血;招米守米;爱情姻缘;安神助眠;美容养颜,visible-in-authorized-session,complete-visible,96.00,559.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-bayue,八月,八月,2026-06-03,225,11,金;水;火,爱情姻缘;提升人缘;招米守米;辟邪护身;防小人;美容养颜;活力气血;助力学业;健康平安,visible-in-authorized-session,complete-visible,63.00,176.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-shuzui,赎罪,云卷云舒,2026-06-03,284,28,金;水;火,助力学业;防小人;美容养颜;稳定情绪;辟邪护身;净化磁场;爱情姻缘,visible-in-authorized-session,complete-visible,34.00,107.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-ganjue,感觉,You,2026-07-08,263,25,金;水,净化磁场;健康平安;辟邪护身;防小人;招贵人;爱情姻缘;提升人缘;稳定情绪;安神助眠;活力气血,visible-in-authorized-session,complete-visible,31.00,96.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-wuhuan,无患,潇潇,2026-07-07,115,4,土;木,辟邪护身;招贵人;活力气血;安神助眠;美容养颜;稳定情绪;招米守米;防小人;健康平安,visible-in-authorized-session,complete-visible,164.00,316.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 3 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-duobaxingqiu,多巴星球,你好,2026-07-03,436,42,金;木;水;火;土,爱情姻缘;提升人缘;事业顺遂;招米守米;助力学业;稳定情绪;安神助眠;招贵人;健康平安;净化磁场;沟通表达;美容养颜;自信气场;辟邪护身,visible-in-authorized-session,complete-visible,202.00,396.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 10 项；来源图仅作证据及 Earthward 重绘参考。
