"source_name","source_url","evidence_date","evidence_status","category_level_1","category_level_2","category_level_3","component_type","product_name_original","variant_name_original","size_mm","price_visible","currency","unit_type","image_local_path_or_cache_folder","image_mapping_status","material_or_color","product_attributes","compatible_bead_sizes","orientation_mode","notes","production_ready"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","白阿塞","10mm","10","5","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","高品净体白水晶","10mm","10","11","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","白水晶","10mm","10","7","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","莫粉","10mm","10","17","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","西柚粉晶","10mm","10","8","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","粉晶","10mm","10","13","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","紫马粉","10mm","10","17","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","薰衣草","10mm","10","12","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","巴西紫水晶","10mm","10","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","高品玻利维亚紫水晶","10mm","10","45","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","乌拉圭紫水晶","10mm","10","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","玻利维亚紫水晶","10mm","10","20","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","魔鬼蓝海蓝宝","10mm","10","81","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","冰川蓝海蓝宝","10mm","10","30","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","蓝天白云海蓝宝","10mm","10","16","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","柠檬黄水晶","10mm","10","15","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","高透黄水晶","10mm","10","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","黄塔晶","10mm","10","12","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","绿水晶","9mm","9","8","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","浅色透体黄胶花","10mm","10","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","浅色透体红胶花","12mm","12","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","牛血红胶花","10mm","10","19","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","浅色红胶花","12mm","12","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","黄胶花","10mm","10","14","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","芬达色胶花","10mm","10","14","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","白幽灵","10mm","10","17","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","满天星绿幽灵","10mm","10","17","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","千层彩幽灵","12mm","12","31","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","奶油体雪花幽灵","10mm","10","11","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","半盆绿幽灵","10mm","10","55","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","透体雪花幽灵","10mm","10","31","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","千层绿幽灵","10mm","10","32","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","浅色草莓晶","10mm","10","7","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","草莓晶","10mm","10","9","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","蓝晶石","10mm","10","23","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","深茶晶","10mm","10","10","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","浅茶晶","10mm","10","10","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","透体黑金超","10mm","10","27","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","黑金超七色浓","10mm","10","20","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","满发黑金超七","10mm","10","13","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","高品金发晶","8mm","8","35","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","黑发晶浅色","10mm","10","23","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","透体黑发晶","10mm","10","75","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","金发晶","10mm","10","28","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","满发绿发晶","10mm","10","12","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","黑发晶深色","10mm","10","23","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","浅色绿发晶","10mm","10","24","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","闪灵","12mm","12","30","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
