source_name,evidence_date,category_level_1,category_level_2,component_type,product_name_original,size_mm,price_visible,currency,unit_type,variant_coverage_status,variant_count_verified,image_local_mapping_status,collection_method,notes
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,莫粉,8,9,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,莫粉,10,17,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,莫粉,12,26,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,西柚粉晶,8,4,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,西柚粉晶,10,8,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,西柚粉晶,12,12,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,粉晶,8,6,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,粉晶,10,13,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,粉晶,12,17,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；12mm再加无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,紫马粉,10,17,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小10mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,紫马粉,12,26,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小10mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,水晶珠,紫马粉,14,38,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小10mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,蓝晶石,水晶珠,蓝晶石,8,13,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,蓝晶石,水晶珠,蓝晶石,10,23,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,蓝晶石,水晶珠,蓝晶石,12,34,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,深茶晶,8,6,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,深茶晶,10,10,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,深茶晶,12,18,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,深茶晶,14,30,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,浅茶晶,10,10,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小10mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,浅茶晶,12,18,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小10mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,水晶珠,浅茶晶,14,30,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小10mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,透体黑金超,8,14,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,透体黑金超,10,27,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,透体黑金超,12,40,CNY,单颗,complete,3,unmapped,逐分类卡片加减边界核验,"最小8mm、最大12mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,黑金超七色浓,8,13,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,黑金超七色浓,10,20,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,黑金超七色浓,12,38,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,黑金超七色浓,14,58,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,满发黑金超七,8,7,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,满发黑金超七,10,13,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,满发黑金超七,12,19,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,水晶珠,满发黑金超七,14,28,CNY,单颗,complete,4,unmapped,逐分类卡片加减边界核验,"最小8mm、最大14mm；两端加减均无变化"
